UCO	AMCUDE B	LIBRE A	ROSARIO C
UNIANDES B	COMILLAS A	ROSARIO F	PUCP D
UVG	CUCEA	UNMSM C	ITESM CEM C
PANAMA B	USMA A	JAVERIANA B	UAM
USFQ B	ANTIOQUIA B	VITORIA A	CANOVAS A
UNAL A	SICODI	UNAL D	ITAM A
USMA D	FINANZAS	UABC	CORNELL B
PUCP A	CALPOLY	SWING D	ROSARIO H
LIBRE B	PUCC A	UNAL B	UNMSM B
VITORIA B	BABEL - UGR	UNAL C	LOYOLA
ROSARIO G	CUCSH B	MURCIA	JAVERIANA A
UP	VITORIA C	CANOVAS B	ROSARIO A
AMCUDE A	ULACIT	ANTIOQUIA C	USAC
USMA E	UCAM	UNIANDES C	UCV
UCR	UNIANDES F	USFQ A	VIRTUAL
ROSARIO E	CUCSH C	ROSARIO D	PUCP B
EXTERNADO	ITESM CEM B	UFM B	PUCMM
CUCSH A	ITAM C	PANAMA A	COMILLAS B
ITESM Toluca C	USMA F	ROSARIO B	ITAM B
SWING A	COMPLUTENSE	ANTIOQUIA A	UNIANDES E
LIBRE C	ZACATECAS	UMCE B	ITESM Toluca B
ESAN	USMA C	UNIANDES A	UNMSM A
USMA B	UPB A	ITESM CEM A	OCCASSIO A
UFM A	UNIANDES D	UNIANDES G	PANAMA C
UPB B	CORNELL A	OCCASIO B	DENVER
SEMS	COLGATE	USFQ C	PUCP C
UMCE A	MANIZALES	ITESM Toluca A	UPES
