HARVARD A	DURHAM A	TEL AVIV B	TEL AVIV A
PRINCETON A	OXFORD C	TCD PHIL A	OXFORD B
OXFORD A	STANFORD A	UCD L&H A	USU B
PENN A	MUNICH A	USU C	UWA A
GW A	IBA-DU A	MACQUARIE A	CORNELL A
USU D	TEL AVIV C	IIUM A	NU A
ANU A	YALE B	YALE A	SWARTHMORE C
UNSW A	USU A	YALE C	EDINBURGH A
MALAYA A	WARWICK A	UCC PHIL A	TCD HIST A
CAMBRIDGE A	ALASKA A	WITS A	UQ A
MOREHOUSE A	MIDDLEBURY A	CAMBRIDGE C	QDU C
HARVARD B	UADS B	OXFORD D	YALE E
PRINCETON C	DLSU A	SOLBRIDGE A	ALASKA B
BELGRADE A	VIENNA B	UT MARA A	DUKE B
STANFORD C	HARVARD D	BARD A	HARVARD C
VIC A	INDONESIA A	MONASH A	YALE D
CAPE TOWN A	HOPKINS A	HEBREW A	QUT A
LSE A	KINGS A	PENN B	UOW A
GUU C	BERKELEY A	UMAC A	MONTREAL A
CAMBRIDGE B	UNSW C	IIUM B	UFS A
ATENEO A	BUDS A	UNSW B	CAPE TOWN B
CORRIENTE A	ALASKA C	DUKE C	ROCHESTER A
GUU B	BROWN A	HART HOUSE B	UTS A
QDU A	MCGILL C	HART HOUSE A	HWS A
VASSAR A	BERLIN A	AU A	CARLETON A
INDONESIA C	AMHERST A	ULV B	ROSARIO A
SUFE A	BELGRADE B	KOREA A	KNEU A
MONASH B	STANFORD B	SWARTHMORE A	MOREHOUSE C
CARLETON B	MDU A	CAMBRIDGE D	UQ B
GW B	DARTMOUTH A	CORNELL B	BINUS A
VIENNA A	MCGILL A	UVIC A	TUFTS A
MOREHOUSE B	CORNELL C	COMILLAS A	UCD LAW A
STANFORD F	TEL AVIV D	DURHAM B	CUNY A
ANU B	UWO A	INDONESIA B	UVA B
KOC A	STANFORD E	BROWN B	UGM A
DUKE A	ST ANDREWS B	DENVER A	WILLIAM & MARY A
BATES B	NWU-PUKKE A	CANTERBURY A	HWS B
ITAM A	LSE B	NU B	AUCKLAND A
LINFIELD A	PRINCETON B	SPLIT A	CORNELL D
MSU A	STANFORD D	UBA A	HART HOUSE C
UWI MONA A	UBC B	ROSARIO B	CMUQ A
NUS A	BRANDEIS Z	UG A	NUIG A
UCL A	UVA A	GUU A	QDU B
VERMONT A	MCGILL B	TCD PHIL B	VERMONT B
UBC A	ITAM B	ST ANDREWS A	WILLAMETTE A
DARTMOUTH B	UNPAD A	DLSU B	INDONESIA D
UDLAP A	LAVAL A	WATERLOO A	BATES A
VIENNA D	TEC CEM C	WATSON A	SWARTHMORE B
BERKELEY B	F&M A	CHICAGO B	HSE A
KYUSHU A	SNU B	COLGATE AF	ITS A
CHICAGO A	UNIVERSITY X	HELSINKI A	UOW B
ULV C	PRINCETON D	OPENU A	BRANDEIS X
STANFORD I	CAPE TOWN C	VERMONT C	BATES C
STANFORD G	LUC A	EDINBURGH B	TCD HIST B
MONASH C	BIRMINGHAM A	BEIHANG B	UNMALANG A
LIBRE B	VIENNA C	ROCHESTER C	CHICAGO C
TEC CEM A	CANTERBURY B	WSDU A	ROCHESTER B
DALHOUSIE A	ULV A	UFMG A	RRIS A
BEIHANG A	CUPB A	SWING A	FORDHAM A
BRAWIJAYA A	AU B	UWI MONA B	WSDU B
UNAL A	MONTREAL B	MIDDLEBURY B	MIDDLEBURY C
ROSARIO C	OSAKA A	NORTHWESTU B	KINDAI A
GUELPH A	COLGATE CG	UTECH JAMAICA B	UCC PHIL B
INNER TEMPLE A	HKUST A	HAWAII B	HAWAII A
UCV A	WCM B	UTECH JAMAICA A	UNIANDES A
KHNUE A	COLGATE SM	LMU B	UNAM FESC A
WCM A	UFRJ A	DAV A	SUFE B
SNU A	UFM A	TSINGHUA A	UADS A
UTECH JAMAICA C	KYOTO A	OSAKA B	MCGILL D
TEC CEM B	LIBRE A	HSU A	COLGATE MS
BEIHANG C	UCLA A	WHEATON A	LMU A
NORTHWESTU A	USFQ B	CHITTAGONG A	UDES A
TSINGHUA B	HSU B	COMILLAS B	UFH A
WHEATON B	FORDHAM B	STANFORD H	TU A
CAU A	UNAL B	IBERO LEON A	WSDU C
BIPEDS A	PORTO A	CUPB B	TEC CSF A
YOGYAKARTA A	LINFIELD B	USFQ A	KATHMANDU A
UOFK A	UCV B	ITHACA A	ITESM MRL A
